HOSPITAL NAME,Address,CITY
MEDICA SUPERSPECIALTY HOSPITAL [KOLKATA],"127 MUKUNDAPUR,E M BYE PASS",Kolkata
Mediview Nursing Home Pvt. Ltd.,"74, BROAD STREET, NEAR LOHAPOOL",Kolkata
MEGACITY NURSING HOME (P) LTD,"12, JESSORE ROAD CHAMPADALI BARASAT NORTH 24 PARGA",Kolkata
Microlap,24 Bipin Pal Road,Kolkata
Midland Nursing Home Pvt Ltd,"33, Anupama Road",Kolkata
Mission of Mercy Hospital &Research Centre,"125/1, PARK STREET, KOLKATA-700017",Kolkata
MOHAN CLINIC (KOLKATA),"46, LAKE TEMPLE ROAD",Kolkata
MOTHER NURSING HOME [SUKANTANAGAR],"52,SUKANTA NAGAR,3RD SARANI,MADHYAMGRAM",Kolkata
NABAJIBAN HOSPITAL PVT LTD (KOLKATA),"5, SHIBDAS BHADURI STREET, KOLKATA",Kolkata
NARAYAN MEMORIAL HOSPITAL,"601 Diamond Harbour Road near, Manton, Behala,",Kolkata
NARAYANA HRUDAYALAYA HOSPITAL (RNT),"124 MUKUNDAPUR , E.M. BYPASS,",Kolkata
NARAYANA MULTISPECIALITY HOSPITAL (BARASAT),"78, Jessore Road , Barasat , North 24 Parganas , West Bengal",Kolkata
NAYAN JYOTI EYE CARE CENTRE,9 JESSORE RD,Kolkata
NEHRU MEMORIAL TECHNO GLOBAL HOSPITAL,6 BARAST RD LALKUTHI BARRACKPORE,Kolkata
NETAJI SUBHAS CHANDRA BOSE CANCER HOSPITAL,"3081, Nayabad Ave, New Garia, Pancha Sayar, Kolkata, West Bengal",Kolkata
NETRADEEP KHAN EYE CARE PVT LTD,"47, DIAMOND HARBOUR ROAD, SAKHER BAZAR",Kolkata
NEW AVENUE NURSING HOME,"NEW TOWN, LOKENATHPARK, JHOWTALA, KOLKATA-700157",Kolkata
New Life Nursing Home (Kolkata),"Saha Bagan, Rajarhat Road,Kol-59",Kolkata
NEW TOWN NURSING HOME,RAJARHAT ROAD TILJALA,Kolkata
NH RABINDRANATH TAGORE SURGICAL CENTRE (KOLKATA),"D - 52, SAMMILANI PARK, KOLKATA",Kolkata
NORTH CITY HOSPITAL (Bagmari RD),"73, Bagmari Road",Kolkata
OHIO CARDIOLOGY ASSOCIATES INDIA PVT. LTD,"PLOT NO - DG6, NEWTOWN , RAJARHAT",Kolkata
PANACEA NURSING HOME,"32, BARASAT ROAD, NEAR 15 NO. RAIL GATE",Kolkata
PARK CLINIC [KOLKATA],"4, GORKY TERRACE",Kolkata
PARKVIEW SUPERSPECIALITY HOSPITAL,"HB 36-A/4 & HB 36-A/5/1, HB BLOCK, SALTLAKE , Bidhan Nagar IB Market , Saltlake , West Bengal",Kolkata
Peerless Hospital & B.K. Roy Research Centre,"360,Panchasayar,kolkata",Kolkata
PEERLESS HOSPITAL CITY DIAGNOSTIC CENTRE,"223,C R AVENUE (NEAR GIRISH PARK METRO STN)",Kolkata
Phoenix Hospital & Diagnostic Centre Pvt.Ltd.,"2, Motilal Colony , Nirmal Sengupta Sarani",Kolkata
POORVA EYE CARE,72 HEMCHANDRA NASKAR ROAD,Kolkata
PRIYAMVADA BIRLA ARAVIND EYE HOSPITAL (KOLKATA),"10, LOUDON STREET, U.N. BRAHMACHARI STREET",Kolkata
PROBAL EYE INSTITUTE,34 SATISH MUKHERJEE ROAD KOLKATA,Kolkata
PROVA EYE FOUNDATION,"66/1/1 & 2 S N BANERJEE ROAD ,BARRACKPORE",Kolkata
R.G. SCIENTIFIC ENTERPRISES LTD (GARIHAT),"33,GARIAHAT ROAD (SOUTH)JODHPUR PARK",Kolkata
RED PLUS NURSING HOME,"22, Baghajatin Station Rd, Baghajatin Place, West Rajapur, Baghajatin Colony,",Kolkata
REMEDY HOSPITAL (GARIA),"GARIA STATION ROAD,KALITALA, NEAR PRANAB NAGAR MET",Kolkata
RENAISSANCE HOSPITAL PVT.LTD,NAZRUL ISLAM AVENUE (VIP ROAD) TEGHORIA KOLKATA-70,Kolkata
RENUKA EYE INSTITUTE,25/3 JESSORE ROAD,Kolkata
Revive Nursing Home,"Baguiati,Baguipara, ASWNI NAGAR",Kolkata
ROTARY NARAYAN NETRALAYA (DUMDUM),87 DUMDUM ROAD,Kolkata
ROTARY NARAYANA NETRALAYA [SALT LAKE],"CN-5,SECTOR-V,SALT LAKE",Kolkata
RSV HOSPITAL,"40, DESHPRANSASHMAL ROAD, KOLKATA-33",Kolkata
RUBY GENERAL HOSPITAL [KOLKATA],"KASBA GOLPARK,E.M.BYPASS",Kolkata
S V S MARAWARI HOSPITAL (KOLKATA),118 RAJA RAMMOHAN ROY SARANI,Kolkata
SAHID KHUDIRAM BOSE HOSPITAL,"12, B.T.ROAD, RATHTALA, BELGHARIA",Kolkata
Salt Lake City Medical Centre & Research Institute,DD 10 Sector 1,Kolkata
Salt Lake EYE FOUNDATION,"IA-173, Saltlake Sec-III",Kolkata
SAMARITAN CLINIC (P) LTD.,"4,RAY MANSION,ELIGN ROAD,(10/4D,LATA LAJPAT RAI SA",Kolkata
SANA NURSING HOME,"5/1A, NURULLA DOCTOR LANE, KOLKATA-700017",Kolkata
Sankara Jyoti Eye Research Institute,"#42125, MSM Road, Khardah , Kolkata , North 24 Par",Kolkata
SANKARA NETHRALAYA [KOLKATA],"SANKARA NETHRALAYA,147, MUKUNDAPUR, E.M. BYPASS, K",Kolkata
Sankara Nethralaya(Newtown),"DJ 16, Action Area I, New Town,",Kolkata
SENGUPTA HOSPITAL DEVELOPER AND SOLUTION PVT. LTD.,"4,HARI MOHAN DUTTA ROAD,KOLKATA",Kolkata
SHRADDHA HEALTH CARE PVT LTD,"15, S.N ROY ROAD",Kolkata
SHREE NETRA EYE FOUNDATION,"73, CHAKRABERIA ROAD (NORTH), KOLKATA-700020",Kolkata
Shusrusha Nursing Home Pvt Ltd,"P-290,C.I.T. Scheme VI-M,U.C.Banerjee Road",Kolkata
SILVER LINE EYE HOSPITAL,"396,PRINCE ANWAR SAH ROAD,KOLKATA",Kolkata
SPANDAN HOSPITAL (TEGHORIA),"VIP ROAD , TEGHORIA",Kolkata
SPECTRA EYE FOUNDATION,"108,108/1,JESSORE ROAD,CHOWMATHA,MADHYAMGRAM, NORT",Kolkata
SRIJONI HEALING HOME,"56,HEM CHANDRA NASKAR ROAD",Kolkata
STERLING HOSPITAL,"55/1 BHUPEN BOSE AVEBUE ,KOLKATA.",Kolkata
Super Nova Care Home,"122A, Hemchandra Naskar Road",Kolkata
SUSRUT EYE FOUNDATION [SALT LAKE],"HB - 36/A/1, SEC.-III, SALT LAKE CITY",Kolkata
Swasti Eye & Super Speciality Nursing Home (Taltala),"AA-2/2, Rajarhat Road ,Taltala, Baguiati",Kolkata
TATA MEDICAL CENTER,"14, MAJOR ARTERIAL ROAD, NEW TOWN, RAJARHAT",Kolkata
TECHNO INDIA DAMA HEALTHCARE,"306, Eastern Metropolitan Bypass, LB Block, Kulia, Beleghata",Kolkata
THE CALCUTTA MEDICAL RESEARCH INSTITUTE,"7/2, Diamond Harbour Road, Alipore, Kolkata, West",Kolkata
THE SUNFLOWER NURSING HOME (HEDUA),"1/1A,MANMOHAN PANDEY ROAD",Kolkata
UMA MEDICAL RELATED INSTITUTE (P) LTD.,"VIP ROAD, TEGHORIA, KOLKATA - 700157",Kolkata
UPKAR NURSING HOME,30D COLLEGE ST,Kolkata
V.I.P. APEX MEDICAL CENTRE PVT LTD,"V.I.P ROAD.JORAMANDIR BUS STOP,BAGUIATI",Kolkata
VIVEKANANDA EYE CARE CENTER,"51C/2G CHAUL PATTY ROAD, BELEGHATA",Kolkata
Woodland Hospital,"8/5 , ALIPORE ROAD",Kolkata
ZENITH SUPER SPECIALIST HOSPITAL,"9/3 FEEDER ROAD BELGHORIA, RATHTALA",Kolkata
7 Orange Hospital,"74, Pawana Nagar, Chinchwad, Chinchwadgaon, Pune",Pune
Aadhar Hospital,"Off Bank Of India,Bombay Pune Highway,Dehuroad",Pune
Aarogyam Multispeciality Hospital,"Chakan Talegaon Road, Opp Marathi Shala, Ranubai Mala, Chakan",Pune
Accord Hospital,"Sant Nagar, Sector No 4, Public Amenity, Moshi Pradhikaran, Pune-Nashik Highway, Moshi",Pune
Ace Hospital,"32/2A, Erandwane, Opp. Hotel Abhishek, Gulwani Maharaj Road,Erandwane",Pune
Aditi Eye Care And Laser Center,"Shop No 302/303, Hawares'grand heritage, Opp Hotel Ambience, Kaspate Wasti, Wakad",Pune
Aditya Birla Memorial Hospital,Aditya Birla Memorial marg chinchwad,Pune
Aditya Eye Clinic,"M G Road Camp J A Kumar Plaza, Next To Wonderland",Pune
Aegis Multispeciality Hospital,"Office No 1-12 , First Floor, Tapswi Plaza, Kalbhornagar, Near Khandoba Mandir Chowk, Akurdi",Pune
Aims Hospital & Research Centre,Sr/No 154 Near Marutrao Gaikwad Garden Aundh,Pune
Amrut Hospital,"613,614 Sonkar Building, Behind Nav Maharashtra Vidyalaya, Pimpri-Waghere",Pune
Amrut Hospital & Research Centre,Markal Road Alandi Devachi In front of TJSB Tal Khed,Pune
Anand Hospital,Balaji Tower M.Phule Chowk,Pune
Anand Hospital Bhosari,"Opp. PMT Bus Stop, Bhosari Main CHowk, Bhosari",Pune
Anand Multispeciality Hospital,"Dehuphata Alandi,Tal Khed,Dist Pune",Pune
Ankur Multispeciality Hospital,"Sr No 40, Keshavnagar, Mundhwa, Pune",Pune
Ankur Nursing Home,"Plot No 11 Tanaji nagar, Link Road, Opp Hearitage Plaza",Pune
Apex Hospital,"Sr No. 13/12, Pawar Nagar, Kalewadi Phata, Aundh-Ravet Road, Thergaon, Pune",Pune
Argade Hospital & Maternity Home,Ambethan Chowk Pune Nashik Highway Chakan Near ICICI Bank Chakan,Pune
Asg Eye Super Speciality Hospital,"Ground Floor, Cello Platina, FC Road, Shivaji Nagar, Pune",Pune
Ashraya Hospital,"S.NO.129/1/A/7, Chamunda Heritage, Kala Khadak,Bhumkar Chowk, Wakad",Pune
Asian Eye Hospital,"Sakar 10, 3rd Floor, Above Fab India, Sassoon Road, Opp Jehangir Hospital",Pune
Attharva Accident Hospital,Chakan Wadgaon Highway Near Bharat petrol Pump Talegaon Station TalegaonDabhade,Pune
Axis Eye Clinic,"Kumar Millenium, Ground Floor, Shop no 11 and 12, Shivteerth Nagar, Paud Road, Kothrud, Pune",Pune
Ayush Multispeciality Hospital,"Harsh Viraj Building Main Road, Near Seva Vikas Bank, Nehru Nagar, Pimpri",Pune
Bhagawati Netralaya,"1st floor,siddhi arcade,manik chowk,chakan,pune",Pune
Bharati Hospital & Research Centre,Katraj- Dhankawadi Pune,Pune
Bliss Hospital,"Gat No 284,Dehurasta,Moshi,Haveli,Pune",Pune
Brahmchaitanya Superspeciality Hospital,"Bhoir Colony, Near Ramkrishna More Sabhagruha, Opp Tata Moters Gate",Pune
Care Multispeciality Hospital,"Kolte Arcade, Pune Nagar Road, Awalwadi Phata, Wagholi",Pune
Chakan Criticare Hospital Pvt Ltd,"Gat No. 1152, Chakan Shikrapur Road, Opp Vishal Garden, Chakan",Pune
Chavan Hospital,"Plot No.54 Near Vastu Udyog Corner, Stadium Road,",Pune
Chellaram Diabetes Hospital,"Lalani Quantum, NH 4 Highway, Next To Crystel Honda, Bavdhan, Pune",Pune
Chetna Hospital,"GP-116, Vrundavan Society Area, Near Rotary Club, MIDC, G Block, Chinchwad",Pune
Chiranjivi Balrugnalay Hospital,"Sai Rachana Complex, 2nd Floor, Near S T Stand, Chakan",Pune
Cimets Inamdar Multispeciality Hospital,"Survey No-15,Fatima Nagar Pune",Pune
Cloud Nine Hospital,"Plot # 65, CTS No. 3175, Shri Shivaji Co., Op Housing Society, JW Marriott Hotel, Senapathi Bapat Road, Pune",Pune
Cloudnine Hospital (kids Clinic India Private Limited),"Waves, Survey No. 212/1B, Plot no. 59 C, Prathamesh Society, Kalyani Nagar, Pune",Pune
Ct Nursing Home,"Shree Ram Pride, Madhav Nagar, Dhanori, 
 Pune",Pune
Dada Laser Eye Institute,"Office no 202, 2nd floor, Gulmohar apartment, East Street, Camp, Pune",Pune
Deenanath Mangeshkar Hospital & Research Centre,"Near Mhatre Bridge, Erandawane",Pune
Deoyani Multispeciality Hospital,"Plot No 121 Lane No 4, Dahanukar Colony Kothrud",Pune
Deshpande Eye Hospital And Laser Centre,"3/4,Anamika,Near Kothrud Depot,Paud Road,Left Bhusari Colony,Kothrud,Pune - 411038. , Bhusari Colony , Pune City , Maharashtra",Pune
Dhakne Hospital,"Shop No 6 ,7, Near Bank Of India, Shantai City Centre, Station Road, Talegaon Dabhade",Pune
Dhanashree Hospital,"GP-66, G Block, MIDC, Opp. Kamalnayan Bajaj School",Pune
Dr Agarwal Eye Hospital,"No.127, Plot No.7, Lotus Court Iti Road Aundh Near Tanishq At, Iti Road, Sahil Park, Sanewadi, Aundh, Pune",Pune
Dr Chakne Eye And Children Hospital,"204, Ganeshame, Near Gold Gym, Pimple Saudagar.",Pune
Dr D Y Patil Medical College Hospital & Research Centre,Sant Tukaram Nagar Pimpari,Pune
Dr Gaikwad Diabetes Centre,Ananda Heights Pune Nashik Highway Bhosari,Pune
Dr Gogate Eye Clinic,Tadiwala road Pune,Pune
Dr Khade Superspeciality Hospital,"Bija Complex, 1st Floor, Manik Chowk, Near ST Stand, InOpposite Hotel Savera, Talegaon Chowk, Chakan",Pune
Dudhabhate Netralaya And Retina Center,"Kudle Patil Estate,Flat No.09,S.No 15/2/A,First/Still Floor,Sinhgad Road,Hinge Khurd,Manikbag, Pune-411051",Pune
Eon Hospital,"52/1/1, Shreeram Nagar Society, Kharadi, Chandan Nagar, Pune",Pune
Eras Bharti Hospital,"Ganesham Commercial A Building 1St,3Rd 4Th Floor, Near Govind Yashada Chowk, Brt Link Road,",Pune
Flora Multi-specialityhospital,"Janhavi Residency, Plot No 7A/2,Near Ravet Dmart, Sector No. 29, Ravet , Pradhikaran,Pune",Pune
Fortune Hospital [ A Unit Of Jeevanjyoti Health Services Pvt. Ltd.],"Fortune Spaces, Near Maharishi School, Link Road, Rahatani, Kalewadi.",Pune
Galaxy Care Laparoscopy Institute,"#25-A, Karve Road, Campus of Ayurved Ras-Shala, Near Garware College, Pune",Pune
Ganga Nursing Home,"Pingle Wasti, Mundhawa Road, Near Munshi Chamber, Mundhawa, Pune",Pune
Global Hospital,"577/2, Nr Dattawadi Police Chowly Off. Sinhagad Road, Dattawadi Pune",Pune
Gold Rush Hospital,"Sr. No. 11/9, Chandan Nagar, Hadapsar Bypass Road, Near Reliance Mart, Kharadi",Pune
Golden Care Hospital,"S. NO. 117/3, Bhumkar wasti, Hinjewadi Road, Wakad",Pune
Gunjkar Multispeciality Hospital,"Plot No.315, Sector No-18, Spine Road, Chikhali, Pimpri, Pune",Pune
Hardikar Hospital,"1160/61, Ganeshkhind Road, Shivajinagar",Pune
Harsh Hospital,"A-III Floor, Todkar Garden, Above South Indian Bank, Bibwewadi-Kondwa Road",Pune
Healing Hands Clinic,"4th Floor Millenium Star Extension, dhole patil road, adjacent to ruby hall clinic, Pune-01 , Pune",Pune
Healing Hands Clinic Pvt Ltd,"101/102, Girme Heights, B Wing, Salunkhe Vihar Road, Wanowari, Pune",Pune
Healing Hands Clinic Pvt Ltd,"1st floor, Crystal Empire Building, Opposite Hotel Sadanand, Baner, Pune",Pune
Healing Hands Clinic Pvt Ltd,"1st Floor, Gokul Complex, Near HDFC Bank, Wage Vasti, Nashik - Pune Hwy, Nashik Road, Chakan, Pune",Pune
Healing Hands Clinic Pvt Ltd,"Wing A, 2Nd Floor, Shop No-201, Premier Plaza, Above Mcdonald, Adjacent To Big Bazaar, Chinchwad, Pune",Pune
Helios Bharti Hospital,"Sr No. 111 CTC No 7891 Main road kalewadi, Near Jyotiba Mangal Karyalaya & PCMC Bank.",Pune
Hi Tech Eye Surgery & Laser Centre,"Office No 1 & 2, 1st Floor, Parmar Pawan, Opp. Rupee Bank, Main Kondhwa Road, Kondhwa",Pune
Icon Hospital,"Tower line Corner, Talawade Road, Triveninagar",Pune
Imax Multispeciality Hospital,Opp Kesnand Phata Sant Tukaram Nagar Wagholi,Pune
Imperial Multispeciality Hospitals,"Pingale Pride, Near Radha Swami Asham, Chikhali, Pune",Pune
Indrayani Hospital,"Indrayani Nagar Talegaon Varale Road,Varale Ta Maval,Dist Pune",Pune
Indrayani Hospital & Cancer Institute,"Alandi Chakan Road, Alandi Devachi, Tal-Khed, Pune",Pune
Inlaks And Budhrani Hospital,7-9 Koregaon Park,Pune
Jaihind Hospital,"2293/1/3, Abhishek Building, Chakan Shikrapur Road, Chakan",Pune
Jeevan Jyoti Hospital,"Mhaske Complex, Opposite Shivratna Hotel, Kalewadi, Pune",Pune
Jeevan Jyoti Hospital,"GK Saphire,Konkane Chouk,Rahatani,Pune",Pune
Jeevan Rakshak Hospital,"S.N.1041/2335, Khandave Nagar, Pune Nagar Road, Wagholi, Pune",Pune
Jeevan Sparsh Eye Hospital,"Guruganesh Society, Gangadham Chowk, Market Yard Road, Bibvewadi, Pune",Pune
Jehangir Hospital,"32, Sasson Road",Pune
Jivanrekha Multispeciality Hospital,"Sr.28 Prabhu Complex,In front of Repulic School, Old Mumbai Pune Highway, Dehu Road",Pune
Joshi Hospital,"778, Shivajinagar Opp Kamala Nehru Park",Pune
Jupiter Hospital,"Near Prathamesh Park, Baner Pimple Nilakh Road, Pune",Pune
K E M Hospital,489 Sardar Moodliar Road,Pune
K K Care Hospital,"A/p- Charholi Bk, Vadmukhwadi, Padmavati Nagri, Padmavati Complex, Pune",Pune
Karne Hospital Pvt Ltd,Opp Laxminarayan Theatre Nr. Swargate,Pune
Kedarnath General Hospital,"Sr No 42/43, Tirupati Complex, 1st Floor, Vishrantwadi, Opp Mahalaxmi Vihar, Pune-Alandi Road, Pune",Pune
Kg Anand Hospital,"Survey No.2,Office No.15 Mandar Society, Main Road, Dhankawadi, Near Dhankawadi Bus Stop , Pune , Pune , Maharashtra",Pune
Khaire Hospital,"Chapekar Chowk, Station Road, Chinchwad",Pune
Kohakade Hospital,"Plot no 21, Sr no 49/2, C/o Dr Kohakade Next to Reliance fresh rupee bank, Pune-ahmednagar road",Pune
Krishna General Hospital,"2, Anjanwel, Prashant Soc, Poud Road",Pune
Life Point Multispeciality Hospital Pvt Ltd,S No 145/1 Mumbai Bangalore Highway Near Hotel Sayaji Wakad,Pune
Lifecare Hospital,"Bank of Maharashtra Opposite , Mahalunge-Ingle Chakan Talegaon Road, Tal -khed,Mahalunge Ingale,Khed",Pune
Lifecare Multispecility Hospital,"3rd floor D wing , 18 Longitude , Near 18 Latitude Mall Latitude Road , Punawale , Thathawade , Pune",Pune
Lifeline Hospital,Gat No 648/2 Near Shrensh Garden Keshnand Phata Pune Nagar Road Wagholi,Pune
Lokmanya Hospital,"Unit 2- Sec. No. 24 PCNTDA, Pradikaran, Nigdi",Pune
Lokmanya Hospital,"Unit 1 - Gawade Colony, Chinchwad",Pune
Lokmanya Hospital - Special Surgery,"CTS, 970, FP 402/A TP Scheme no.1, Senapati Bapat Road, Gokhgalenager, Pune",Pune
Lokmanya Hospital Pvt Ltd,"484/6, Mitramandal Co Op Society, Aranyeshwar Road Parvati",Pune
Madrewar Hospital,"Shubh Complex, Sector 1, Near Bank of Maharashtra & Vaishnomata Mandir, Above Axis Bank, Indrayaninagar, Bhosari",Pune
Mahesh Smruti Multispeciality Hospital,"SR.No.77, Annasaheb Magar, Near Bhaji Mandai, Pune -Solapur Road, Manjari.",Pune
Mai Mangeshkar Hospital,"117/1, Waraje, Next to BAIF, Mumbai- Bangalore Highway",Pune
Manipal Hospital,"22/2A , Near Nyati Empire, Kharadi",Pune
Manipal Hospital Pvt. Ltd,"Sr. No 111/11/1 Baner Mahalunge Road, Baner Pune,Baner Gaon,Pune City,Maharashtra",Pune
Mankikar Hospital,"DM Chamber, Above Rupee bank, Pune Nashik Road",Pune
Mauli Hospital,"Shantai City Centre, Near Nagar Parishad, Talegaon Dhabade, Tal- Maval",Pune
Max Neuro Hospital Private Limited,Opp Alfalaval Mumbai Pune Highway Kasarwadi,Pune
Medicover Kle Hospital,"Sector No: 1, Indrayani Nagar,Bhosari Pimpri Chinchwad,Pune",Pune
Medilife Multispeciality Hospital & Icu,"New Jotiba Temple Alphoosa School Road, Nijay nagar Kalewadi Petrol Pump",Pune
Metro Hospital,"Surve No. 42/2, Dwarka Sai Commercial Building, Godambe Chowk, Rahatni , Pimpari, Pune",Pune
Metro Superspeciality Hospital And Trauma Centre,"Shantai Heights, Shivaji Putalyajaval,Wagholi Tal-Haveli, Pune",Pune
Moolanis Eye Care Centre,103 Pundol Apartment 160 Mg Road,Pune
Moraya Hospital,Gauri Appartment Pimple Gurav Dapodi Pune,Pune
Moraya Multispeciality Hospital,"Power House Chowk, Opposite PMT Bus Stop, Chinchwad",Pune
Morya Multispeciality Hospital,"62/4A, Anudatta Commercial Complex, Opp. Abhiruchi City-Pride Mall, Sinhgad Road, Pune",Pune
Motherhood Hospital ( A Unit Of Rhea Healthcare Pvt Ltd),"S.No. 13/1A/1E/2 Mundhwa Kharadi Bypass Road, Ground Floor, Near Hyundai Showroom, Kharadi, Pune",Pune
Motherhood Hospital Lullanagar Pune ( A Unit Of Rhea Healthcare Pvt Ltd),"Sr. No.3491 ,Plot 80 ,Munjeri, Near Bharat Petrol Pump ,Opposite Mount Carmel School ,Lullanagar, Wanowarie, Pune.",Pune
N M Wadia Institute Of Cardiology,"32, Sassoon Road",Pune
National Hospital,"Big D building, Opposite To Konark E square, Kondhwa Main Road, Khondhwa KH, Pune City",Pune
National Institute Of Ophthalmology,"1187/30, Off Ghole Road, Nr Phule Museum,",Pune
National Institute Of Ophthalmology,"376 Sindh Society, Bremen Square, Ganesh Khind Road, Aundh",Pune
Neo Vision Eye Care And Laser Center,"202, 2nd Floor, Lingfield Plaza Clover Village, Above Reliance Fresh, Salunkhe Vihar Road, Wanowarie, Pune",Pune
New Life Child Care Clinic & Hospital,"Opposite Mm School, Above Shagun Plywood, Main Road, D Mart, Kalewadi",Pune
Niramaya Hospital,"S No 4742, Behind Jaihind Petrol Pump, Next to Chinchwad (E) Post Office, Chinchwad Post",Pune
Noble Hospital,"153, Magarpatta City Road",Pune
Ojas Multispecialty Hospital,"Sr No. 203/1 D.Y. Patil College Ravet Road, Near Bhondave Corner, Ravet",Pune
Ojas Womans Superspeciality And Fertility Centre,"730/01,Plot No. 2,Bakori Road,Opp. BJS Foundation.",Pune
Om Hospital,"Vetalbaba Chowk, Shivajinagar",Pune
Om Hospital,"Hutatma Chowk, Alandi Road,Bhosari",Pune
Omkar Accident Hospital,Pune naik Highway talegaon chowk Chakan taluka khed,Pune
Omkar Eye Hospital,"2nd Floor, Navkar Commerce Centre, Behind Kalika Mata Mandir, Above Bank of Baroda, Link Road,Tanaji Nagar, Chinchwad.",Pune
Onp Leela Hospital,"Rose Icon, Survey No. 72, BRT Road, Pimple Saudagar",Pune
Orchid Speciality Hospital,"L-square, Porwal Road, Sr.No.282/3/3, Off Dhanori Jakat Naka, Dhanori, Lohgaon",Pune
Oyster & Pearl Hospital Pvt Ltd Run By Phadnis Clinic Pvt Ltd,"1671-75, Ganeshkhind Road, Behind Hotel Pride Executive",Pune
Panortho Multispeciality Hospital,"01- Bldg, Riddhi Capita, Plot No. F11, Sect. No.26 A.D.C.PCNTDA, Nigdi, Pune",Pune
Paranjpe Eye Clinic & Surgery Center,"894, Venkatesh Apt, Off F C Road, Deccan Gymkhana, Goodluck Chowk",Pune
Pataskar Hospital,"Jay Ganesh Samrajya, C Wing, 12, Near Panjarpol, Pune Nashik Highway, Bhosari",Pune
Patil Eye Hospital,"1st Floor, C-Wing, Jai Ganesh Samarajya, Panjarpol, Pune Nashik Road",Pune
Patil Hospital,Main Road Vitthalwadi Akurdi Pune Laxman Sondkar Path,Pune
Pawana Hospital,Somatane Phata Near Old Pune Mumbai Highway Tal Maval,Pune
Pawar Hospital,"49/22, Balaji Nagar,Dhankawdi",Pune
Pbmas H V Desai Eye Hospital,"H V Desai Eye Hospital,S. No.93,Tarwade vasti Mohammadwadi",Pune
Pharande Eye Hospital,1St Floor Anant Appt Near Santosh Hall Anandnagar Singhgad Road Pune,Pune
Phoenix Hospital,Opp Rhythm Society Kalewadi Phata Near Suzuki Shoroom Tergaon Pune,Pune
Pioneer Hospital,Somatane Phata Diamond Commercial Complex NR Old Mumbai Pune Highway,Pune
Pooja Hospital,"Alandi Road, Opp HP Petrol Pump Bhosari",Pune
Poona Eye Care,"Lajwanti Apt, Opp. Sonal Hall, Next to Sonchapha Jewellers, Karve Road, Deccan Gymkhana, Pune.",Pune
Pulse Multispeciality Hospital,"S. No. 66/1, Lande Building, Tathawade Chowk, Pune",Pune
Pulse Multispeciality Hospital,"Sr. No 51/7/B/1 1st Floor Vishwa Arcade, Opp Deccan Pavillion Hotel, Mumbai Bangalore Highway, Narhe Ambegaon",Pune
Punawale Multispeciality Hospital,"Alpha Hieghts,Surve No 11/2,Punawale,Pune",Pune
Pune Netralaya,"Flat No. 3, Krishnai Appartment, Opp. Lee Showroom, Near Monginis, Parihar Chowk, Aundh, Pune",Pune
Ranka Hospital,"157/5, Mukund Nagar, Opp. Nirman Bhavan, CPWD",Pune
Rao Nursing Home,RNH Aaranyeshwar Corner Bibvewadi Near Big Bazar,Pune
Remedy Hospital,"228, Ramanand Complex, Poona Sholapur, Road, Near Jenaseva Bank , Pune",Pune
Rising Medicare Hospital,"Survey No 4, Goodwill Icon, Hissa No 1, Behind Radission Hotel, Kharadi Bypass Road, Kharadi",Pune
Rode Hospital,"Sai Park, Sr No.84, Dighi Bhosari Road, Dighi, Pune",Pune
Ruby Hall Clinic,"40, Sassoon Road",Pune
Ruby Hall Clinic Hinjwadi,"Plot No 33, Phase 1, Rajeev Gandhi Infotech Park",Pune
Ruby Hall Wanowarie,Wanowarie Azadnagar Pune,Pune
Sabales Superspeciality Hospital,"Saivenkata Trade Centre, Pune Nashik Highway, Bhosari.",Pune
Sahyadri Hospital,"Survey No 148/4A B Opposite Vanaz Eng. Paud Road,Kothrud",Pune
Sahyadri Hospital,"Plot no 13, S No 573, City No 281, Swami Vivekanand Marg, Next to Suhaag Mangal Karyalay, Bibvewadi, Pune",Pune
Sahyadri Speciality Hospital,"Plot No 30, C, Lane No 1, Prabhat Road,erandawane,Deccan",Pune
Sahyadri Speciality Hospital,"Sr.No. 185A,199,200A-B,201 Shashri Nagar Yerawada Pune Nagar road",Pune
Sahyadri Super Specialty Hospital,"S N 163, Bhosale Nagar, Hadapsar",Pune
Sai Ananya Eye And Heart Care Center,"310, 404 Fortune Building, Shivar Chawk, Opp. Rainbow Plaza, Pimple Saudagar, Pune",Pune
Sai Jeevan Hospital,"Plot no. 13, gate no. 323, Shirgaon road, Somatane, Tal. Maval, Pune",Pune
Sai Shradha Health Care Center,"Silvar Mist Housing Soc,Porwal Road,Lohgaon Pune",Pune
Sai Shree Orthopaedic Super Speciality & Joint Replacement Center,"251/252, Opp BSNL Tel Exchange, Near Parihar Chowk, Near DAV Public School, Aundh",Pune
Sai Sneh Hospital & Diagnostic Centre Pvt Ltd,"S.No. 2711, Pune Satara Road, Opp PMT Bus Stand, Katraj, Pune",Pune
Sai Spandan Hospital,"Shivam Complex, Near Sadhana Bank, Hadapsar, Pune",Pune
Sai Speciality Hospital,"Shivam Market No 3 Akurdi Chikhli Rd Sane Chouk,Chinchwad,Pune",Pune
Saidham Hospital,"Opp Maharashtra Bank, Landewadi Chowk, Bhosari, Pune",Pune
Sainath Hospital,S 4 Pune Nashik Highway Moshi Pradhikaran Opp Gandharva Nagari,Pune
Saiseva Hospital,"1st Floor, Kazi Complex, Mahatma Phule Chowk",Pune
